EOG093707RF	h2tg000006l_1	1175277	1188154
EOG093707VN	h1tg000004l_1	2198740	2209867
EOG093707VN	h1tg000010l_1	2288800	2299999
EOG093707VN	h2tg000037l_1	1243170	1254309
EOG093707VQ	h1tg000039l_1	1032529	1043880
EOG093707VQ	h2tg000058l_1	151714	162687
EOG093707VQ	h1tg000059l_1	4000332	4014709
EOG0937084T	h2tg000009l_1	3179145	3189381
EOG0937085E	h2tg000053l_1	1578860	1590714
EOG0937085E	h2tg000006l_1	2069881	2081158
EOG093708IM	h2tg000048l_1	213886	226666
EOG093708IM	h2tg000054l_1	2328271	2341023
EOG093708IM	h2tg000034l_1	2849467	2862230
EOG093708OP	h1tg000086l_1	53017	65412
EOG093708OP	h2tg000036l_1	1755385	1767772
EOG093708OP	h1tg000009l_1	5014923	5027650
EOG093708TP	h2tg000018l_1	2457028	2469468
EOG093708TP	h1tg000009l_1	1731271	1743614
EOG0937091Y	h2tg000024l_1	2749462	2763017
EOG0937091Y	h1tg000003l_1	1316574	1330064
EOG0937091Y	h2tg000038l_1	165586	179062
EOG0937092W	h1tg000034l_1	2446583	2459526
EOG0937092W	h2tg000010l_1	2868436	2880593
EOG093709BZ	h1tg000009l_1	5062039	5074381
EOG093709BZ	h2tg000036l_1	1703390	1716098
EOG093709HP	h1tg000010l_1	1644958	1657929
EOG093709HP	h2tg000037l_1	1876833	1887940
EOG093709HP	h1tg000004l_1	1595104	1605988
EOG093709JG	h2tg000008l_1	9501713	9512423
EOG093709JG	h1tg000007l_1	2112415	2122992
EOG093709JG	h2tg000012l_1	1544747	1555314
EOG09370A22	h1tg000010l_1	1490627	1502355
EOG09370A22	h2tg000020l_1	2042358	2053881
EOG09370A22	h1tg000004l_1	1476565	1487754
EOG09370ADO	h1tg000015l_1	406331	432906
EOG09370ADO	h2tg000005l_1	1971620	1982934
EOG09370ADO	h2tg000011l_1	217815	229126
EOG09370AI8	h2tg000049l_1	76226	87842
EOG09370AI8	h2tg000006l_1	64999	76408
EOG09370AJP	h2tg000008l_1	7475618	7488086
EOG09370AJP	h2tg000078l_1	455799	468233
EOG09370AL3	h2tg000030l_1	39050	50154
EOG09370AL3	h2tg000006l_1	3619586	3630699
EOG09370ARO	h2tg000012l_1	2287413	2299509
EOG09370ARO	h2tg000008l_1	10289351	10300392
EOG09370ARO	h1tg000007l_1	1218112	1229138
EOG09370AS9	h2tg000010l_1	3633124	3644118
EOG09370AS9	h1tg000034l_1	1699343	1710337
EOG09370AS9	h2tg000024l_1	4636191	4647041
EOG09370AV1	h2tg000020l_1	1571236	1582688
EOG09370AV1	h2tg000037l_1	1491732	1503169
EOG09370AV1	h1tg000010l_1	2033579	2045016
EOG09370AWB	h2tg000006l_1	602112	613712
EOG09370AWB	h2tg000049l_1	619366	630979
EOG09370B1L	h2tg000047l_1	1281213	1294911
EOG09370B1L	h1tg000023l_1	2212445	2226156
EOG09370B1L	h1tg000030l_1	1751119	1764481
EOG09370B7D	h1tg000037l_1	2597040	2607285
EOG09370B7D	h2tg000034l_1	1501961	1512206
EOG09370B7D	h1tg000009l_1	3197505	3207726
EOG09370BBR	h2tg000013l_1	1367544	1378986
EOG09370BBR	h1tg000026l_1	1150541	1161888
EOG09370BBR	h2tg000063l_1	966545	977894
EOG09370BGO	h2tg000037l_1	3090852	3103057
EOG09370BGO	h1tg000004l_1	317958	328137
EOG09370BGO	h2tg000020l_1	3003371	3013550
EOG09370BJE	h2tg000047l_1	2252051	2262884
EOG09370BJE	h1tg000030l_1	776918	787763
EOG09370BJE	h1tg000023l_1	3222313	3233145
EOG09370BK5	h1tg000051l_1	502444	512717
EOG09370BK5	h1tg000007l_1	3740689	3750966
EOG09370BQO	h1tg000024l_1	443851	454799
EOG09370BQO	h1tg000027l_1	831492	842416
EOG09370BQO	h2tg000038l_1	2500334	2511179
EOG09370BYX	h2tg000024l_1	4773707	4785104
EOG09370BYX	h2tg000010l_1	3510339	3521461
EOG09370C5A	h2tg000008l_1	9648354	9658649
EOG09370C5A	h2tg000012l_1	1700147	1710439
EOG09370C5A	h1tg000059l_1	473233	483524
EOG0937017X	h2tg000047l_1	952704	971892
EOG0937017X	h1tg000023l_1	1864499	1883668
EOG0937017X	h1tg000030l_1	2312032	2331123
EOG09370CAN	h1tg000051l_1	263522	275925
EOG09370CAN	h2tg000012l_1	0	13857
EOG09370CAN	h2tg000008l_1	8112799	8125195
EOG09370CAV	h1tg000024l_1	5765801	5778992
EOG09370CAV	h2tg000023l_1	146393	159495
EOG09370CAV	h1tg000018l_1	284087	297183
EOG09370CF1	h1tg000039l_1	932687	942995
EOG09370CF1	h1tg000026l_1	1524802	1535110
EOG09370CF1	h2tg000063l_1	571937	582245
EOG0937018Z	h2tg000008l_1	2611895	2626124
EOG0937018Z	h1tg000023l_1	3040033	3053457
EOG0937018Z	h2tg000047l_1	2075069	2088493
EOG09370CIV	h2tg000067l_1	269542	280374
EOG09370CIV	h2tg000005l_1	1072617	1083449
EOG09370CIV	h1tg000008l_1	2379349	2389810
EOG09370CK6	h1tg000010l_1	3307588	3317785
EOG09370CK6	h2tg000037l_1	444297	454494
EOG09370CK6	h2tg000020l_1	517045	527242
EOG09370CKL	h1tg000051l_1	396805	408602
EOG09370CKL	h2tg000008l_1	8017939	8029569
EOG09370CKL	h1tg000007l_1	3622832	3634464
EOG0937019B	h2tg000058l_1	828167	844487
EOG09370CRF	h1tg000024l_1	2738616	2750573
EOG09370CRF	h2tg000023l_1	2836614	2848175
EOG09370CRF	h2tg000040l_1	1294121	1305865
EOG0937004M	h1tg000027l_1	948166	991615
EOG0937004M	h2tg000038l_1	2644515	2676944
EOG0937004M	h2tg000024l_1	300909	333615
EOG09370CTU	h2tg000043l_1	141648	154007
EOG09370CTU	h2tg000005l_1	2322055	2334370
EOG09370CTU	h1tg000015l_1	418397	430733
EOG09370CZ0	h1tg000015l_1	1869017	1880377
EOG09370CZ0	h2tg000025l_1	814841	825988
EOG09370CZT	h2tg000008l_1	5559356	5569556
EOG09370D13	h1tg000048l_1	632210	644105
EOG09370D13	h2tg000027l_1	627919	639828
EOG09370D13	h2tg000001l_1	1010910	1022665
EOG09370DO5	h2tg000063l_1	243134	253629
EOG09370DO5	h1tg000039l_1	596173	606672
EOG09370DO5	h1tg000026l_1	1876659	1887138
EOG09370DP4	h2tg000023l_1	3474604	3485961
EOG09370DP4	h1tg000031l_1	1882882	1894341
EOG09370DP4	h2tg000040l_1	491232	502856
EOG09370DTG	h2tg000008l_1	11348085	11358455
